strain	virus	accession	date	country	author
hCOV-19/Uganda/IDRC-CZB-01/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-01/2021	2/24/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-02/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-02/2021	3/3/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-03/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-03/2021	5/28/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-04/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-04/2021	5/27/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-05/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-05/2021	5/13/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-06/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-06/2021	6/2/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-07/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-07/2021	6/10/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-08/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-08/2021	7/1/21	Uganda	prism
hCOV-19/Uganda/IDRC-CZB-09/2021	SARS-CoV-2	hCOV-19/Uganda/IDRC-CZB-09/2021	7/20/21	Uganda	prism
